code,name,行业,上市时间,最新,涨幅,股息率_2024
000001,平安银行,银行,19910403,11.46,-0.78,5.31
000002,万科A,房地产开发,19910129,6.63,-0.6,0.0
000004,国华网安,软件开发,19901201,9.09,-3.3,0.0
000006,深振业A,房地产开发,19920427,6.76,-1.31,0.0
000007,全新好,房地产服务,19920413,7.87,-1.63,0.0
000008,神州高铁,交运设备,19920507,2.75,-2.14,0.0
000009,中国宝安,综合行业,19910625,7.97,-0.99,0.38
000010,美丽生态,工程建设,19951027,2.81,-2.77,0.0
000011,深物业A,房地产开发,19920330,8.28,-2.47,0.0
000012,南玻A,玻璃玻纤,19920228,4.64,-1.28,1.51
000014,沙河股份,房地产开发,19920602,11.39,-1.47,0.0
000016,深康佳A,家电行业,19920327,4.95,-2.37,0.0
000017,深中华A,珠宝首饰,19920331,6.65,-3.62,0.0
000019,深粮控股,贸易行业,19921012,6.7,-1.18,2.24
000020,深华发A,光学光电子,19920428,12.07,-2.5,0.0
000021,深科技,消费电子,19940202,17.39,-1.42,1.09
000025,特力A,珠宝首饰,19930621,17.8,0.96,0.56
000026,飞亚达,珠宝首饰,19930603,12.54,-4.49,3.19
000027,深圳能源,电力行业,19930903,6.41,-1.08,2.34
000028,国药一致,医药商业,19930809,25.17,0.08,1.45
000029,深深房A,房地产开发,19930915,17.95,-0.88,0.0
000030,富奥股份,汽车零部件,19930929,6.18,-2.06,2.43
000031,大悦城,房地产开发,19931008,2.57,-1.53,0.0
000032,深桑达A,通信设备,19931028,19.9,-1.34,0.6
000034,神州数码,计算机设备,19940509,37.76,-4.02,0.71
000035,中国天楹,环保行业,19940408,4.31,-1.37,0.82
000036,华联控股,房地产开发,19940617,3.56,-1.39,0.0
000037,深南电A,电力行业,19940701,8.37,-2.67,0.0
000039,中集集团,通用设备,19940408,7.92,0.13,2.22
000042,中洲控股,房地产开发,19940921,6.72,-1.61,0.0
000045,深纺织A,光学光电子,19940815,10.12,-1.84,0.7
000048,京基智农,农牧饲渔,19941101,16.38,-0.36,4.46
000049,德赛电池,电池,19950320,21.56,-0.51,1.53
000050,深天马A,光学光电子,19950315,8.25,-0.72,0.0
000055,方大集团,装修装饰,19960415,4.05,-1.46,1.23
000056,皇庭国际,房地产服务,19960708,3.04,-2.56,0.0
000058,深赛格,商业百货,19961226,8.12,-3.91,0.15
000059,华锦股份,石油行业,19970130,5.6,3.7,0.32
000060,中金岭南,有色金属,19970123,4.47,-0.67,1.95
000061,农产品,贸易行业,19970110,6.3,-2.78,1.11
000062,深圳华强,电子元件,19970130,25.41,-3.49,1.69
000063,中兴通讯,通信设备,19971118,31.2,-1.61,1.98
000065,北方国际,工程建设,19980605,10.61,-2.3,1.4
000066,中国长城,计算机设备,19970626,14.1,-1.95,0.0
000068,华控赛格,环保行业,19970611,3.33,-2.35,0.0
000069,华侨城A,房地产开发,19970910,2.33,-1.27,0.0
000070,ST特信,通信设备,20000511,6.5,-1.66,0.0
000078,海王生物,医药商业,19981218,2.36,-0.42,0.0
000088,盐田港,航运港口,19970728,4.7,-3.69,2.77
000089,深圳机场,航空机场,19980420,7.01,-1.41,1.71
000090,天健集团,房地产开发,19990721,3.53,-0.84,2.83
000096,广聚能源,石油行业,20000724,17.3,0.12,0.43
000099,中信海直,航空机场,20000731,21.82,-2.2,0.57
000100,TCL科技,光学光电子,20040130,4.3,-1.38,1.16
000156,华数传媒,文化传媒,20000906,7.53,-1.95,2.39
000157,中联重科,工程机械,20001012,7.18,-1.1,4.18
000158,常山北明,综合行业,20000724,22.65,-2.2,0.0
000159,国际实业,石油行业,20000926,5.35,-1.47,0.0
000166,申万宏源,证券,20150126,4.69,-1.05,1.34
000301,东方盛虹,化学原料,20000529,8.9,-0.34,0.0
000333,美的集团,家电行业,20130918,78.89,-0.59,4.44
000338,潍柴动力,汽车零部件,20070430,15.21,-0.39,4.73
000400,许继电气,电网设备,19970418,21.54,-0.65,1.95
000401,冀东水泥,水泥建材,19960614,4.6,-0.65,2.17
000402,金融街,房地产开发,19960626,2.69,-1.47,0.0
000403,派林生物,生物制品,19960628,21.73,0.51,2.3
000404,长虹华意,家电行业,19960619,7.07,-0.84,4.24
000407,胜利股份,燃气,19960703,3.26,-0.91,1.29
000408,藏格矿业,化肥行业,19960628,36.8,0.93,0.71
000409,云鼎科技,互联网服务,19960627,10.93,-1.71,0.0
000410,沈阳机床,通用设备,19960718,7.06,-0.14,0.0
000411,英特集团,医药商业,19960716,10.77,0.19,3.56
000415,渤海租赁,多元金融,19960716,3.35,-2.9,0.0
000417,合百集团,商业百货,19960812,5.56,-1.59,1.98
000419,通程控股,商业百货,19960816,5.34,-1.84,2.81
000420,吉林化纤,化纤行业,19960802,4.38,2.34,0.0
000421,南京公用,燃气,19960806,6.27,-2.79,0.96
000422,湖北宜化,化肥行业,19960815,12.37,-2.6,1.62
000423,东阿阿胶,中药,19960729,56.02,-0.6,4.31
000425,徐工机械,工程机械,19960828,8.31,-1.89,2.17
000426,兴业银锡,有色金属,19960828,13.89,2.28,0.5
000428,华天酒店,旅游酒店,19960808,3.11,-1.89,0.0
000429,粤高速A,铁路公路,19980220,14.47,-1.23,3.61
000430,张家界,旅游酒店,19960829,7.52,0.8,0.0
000488,晨鸣纸业,造纸印刷,20001120,1.98,-1.0,0.0
000498,山东路桥,工程建设,19970609,5.75,-0.35,3.48
000501,武商集团,商业百货,19921120,9.01,-1.74,3.33
000503,国新健康,软件开发,19921130,10.21,0.59,0.0
000504,南华生物,医疗服务,19921208,6.83,-2.84,0.0
000505,京粮控股,农牧饲渔,19921221,6.29,-2.02,0.29
000506,*ST中润,贵金属,19930312,7.46,0.67,0.0
000507,珠海港,航运港口,19930326,5.67,-5.03,1.15
000509,华塑控股,光学光电子,19930507,3.21,-2.13,0.0
000510,新金路,化学原料,19930507,5.37,10.04,0.0
000513,丽珠集团,化学制药,19931028,36.65,0.38,3.0
000514,渝开发,房地产开发,19930712,4.38,-2.23,0.0
000516,国际医学,医疗服务,19930809,5.13,0.0,0.0
000517,荣安地产,房地产开发,19930806,1.83,-2.66,0.0
000518,四环生物,生物制品,19930908,2.08,-2.8,0.0
000519,中兵红箭,专用设备,19931008,16.57,-1.13,0.0
000520,凤凰航运,航运港口,19931025,4.65,-5.68,0.0
000521,长虹美菱,家电行业,19931018,7.61,-1.55,4.34
000523,红棉股份,食品饮料,19931108,3.24,-2.41,0.0
000524,岭南控股,旅游酒店,19931118,11.87,-2.06,0.67
000525,ST红太阳,农药兽药,19931028,6.88,-1.15,0.0
000526,学大教育,教育,19931101,51.61,-2.62,0.0
000528,柳工,工程机械,19931118,9.93,-0.7,2.75
000529,广弘控股,食品饮料,19931118,5.95,-0.83,2.02
000530,冰山冷热,通用设备,19931208,5.35,0.0,0.93
000531,穗恒运A,电力行业,19940106,6.08,-1.14,1.32
000532,华金资本,综合行业,19940103,15.23,1.6,0.39
000533,顺钠股份,电网设备,19940103,6.25,1.13,0.0
000534,万泽股份,生物制品,19940110,14.01,-2.03,0.36
000536,华映科技,光学光电子,19931126,4.41,-2.22,0.0
000537,中绿电,电力行业,19931210,8.4,-0.71,2.38
000538,云南白药,中药,19931215,56.58,-0.21,4.24
