item,value
sell_5,-
sell_5_vol,----------------------------------------------------------------------------------------------------
sell_4,-
sell_4_vol,----------------------------------------------------------------------------------------------------
sell_3,-
sell_3_vol,----------------------------------------------------------------------------------------------------
sell_2,-
sell_2_vol,----------------------------------------------------------------------------------------------------
sell_1,-
sell_1_vol,----------------------------------------------------------------------------------------------------
buy_1,12.45
buy_1_vol,2089300
buy_2,12.44
buy_2_vol,800
buy_3,12.42
buy_3_vol,1500
buy_4,12.41
buy_4_vol,1300
buy_5,12.4
buy_5_vol,6800
最新,12.45
均价,12.12
涨幅,9.98
涨跌,1.13
总手,107139
金额,129905195.24
换手,2.58
量比,2.3
最高,12.45
最低,11.38
今开,11.56
昨收,11.32
涨停,12.45
跌停,10.19
外盘,48797
内盘,58343
