日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2006-07-10,000420,2.63,2.6,2.65,2.58,44394,11583662.0,2.66,-1.14,-0.03,1.73
2006-07-11,000420,2.58,2.62,2.63,2.58,28614,7449685.0,1.92,0.77,0.02,1.12
2006-07-12,000420,2.6,2.62,2.64,2.57,39776,10374674.0,2.67,0.0,0.0,1.55
2006-07-13,000420,2.62,2.44,2.62,2.4,54526,13587284.0,8.4,-6.87,-0.18,2.13
2006-07-14,000420,2.36,2.36,2.42,2.32,32855,7821795.0,4.1,-3.28,-0.08,1.28
2006-07-17,000420,2.36,2.39,2.39,2.35,22789,5405836.5,1.69,1.27,0.03,0.89
2006-07-18,000420,2.38,2.42,2.45,2.35,27496,6556314.5,4.18,1.26,0.03,1.07
2006-07-19,000420,2.47,2.38,2.48,2.36,25198,6059101.5,4.96,-1.65,-0.04,0.98
2006-07-20,000420,2.38,2.41,2.42,2.36,14797,3551111.5,2.52,1.26,0.03,0.58
2006-07-21,000420,2.41,2.4,2.43,2.37,17239,4134061.25,2.49,-0.41,-0.01,0.67
2006-07-24,000420,2.39,2.37,2.39,2.32,19021,4477465.5,2.92,-1.25,-0.03,0.74
2006-07-25,000420,2.37,2.4,2.43,2.36,21854,5243814.5,2.95,1.27,0.03,0.85
2006-07-26,000420,2.39,2.45,2.46,2.38,33371,8128312.0,3.33,2.08,0.05,1.3
2006-07-27,000420,2.46,2.44,2.48,2.41,25115,6137815.0,2.86,-0.41,-0.01,0.98
2006-07-28,000420,2.44,2.37,2.44,2.35,22641,5385559.5,3.69,-2.87,-0.07,0.88
2006-07-31,000420,2.37,2.28,2.38,2.28,24468,5655353.0,4.22,-3.8,-0.09,0.95
2006-08-01,000420,2.28,2.29,2.32,2.25,18010,4114956.0,3.07,0.44,0.01,0.7
2006-08-02,000420,2.29,2.25,2.31,2.2,13744,3095257.0,4.8,-1.75,-0.04,0.54
2006-08-03,000420,2.24,2.27,2.29,2.24,8186,1851022.88,2.22,0.89,0.02,0.32
2006-08-04,000420,2.27,2.18,2.29,2.15,10758,2391784.0,6.17,-3.96,-0.09,0.42
2006-08-07,000420,2.18,2.1,2.2,2.08,14920,3190349.0,5.5,-3.67,-0.08,0.58
2006-08-08,000420,2.11,2.18,2.19,2.11,11718,2515794.25,3.81,3.81,0.08,0.46
2006-08-09,000420,2.18,2.19,2.21,2.16,11972,2624951.0,2.29,0.46,0.01,0.47
2006-08-10,000420,2.17,2.24,2.26,2.17,17499,3898131.0,4.11,2.28,0.05,0.68
2006-08-11,000420,2.21,2.24,2.27,2.21,10161,2273416.5,2.68,0.0,0.0,0.4
2006-08-14,000420,2.24,2.17,2.24,2.14,11565,2523844.0,4.46,-3.13,-0.07,0.45
2006-08-15,000420,2.21,2.21,2.22,2.17,13261,2915564.25,2.3,1.84,0.04,0.52
2006-08-16,000420,2.2,2.24,2.24,2.18,16727,3702980.0,2.71,1.36,0.03,0.65
2006-08-17,000420,2.22,2.2,2.22,2.17,13047,2860542.25,2.23,-1.79,-0.04,0.51
2006-08-18,000420,2.2,2.18,2.21,2.17,6485,1418621.38,1.82,-0.91,-0.02,0.25
2006-08-21,000420,2.13,2.2,2.2,2.08,9264,1991870.38,5.5,0.92,0.02,0.36
2006-08-22,000420,2.19,2.21,2.25,2.18,9296,2062905.5,3.18,0.45,0.01,0.36
2006-08-23,000420,2.21,2.21,2.23,2.17,14280,3137586.75,2.71,0.0,0.0,0.56
2006-08-24,000420,2.2,2.22,2.25,2.18,11930,2642043.5,3.17,0.45,0.01,0.47
2006-08-25,000420,2.2,2.25,2.25,2.19,16436,3645765.75,2.7,1.35,0.03,0.64
2006-08-28,000420,2.26,2.27,2.27,2.21,25509,5740782.5,2.67,0.89,0.02,0.99
2006-08-29,000420,2.28,2.34,2.35,2.24,36889,8435601.0,4.85,3.08,0.07,1.44
2006-08-30,000420,2.34,2.4,2.43,2.33,91244,21656844.0,4.27,2.56,0.06,3.56
2006-08-31,000420,2.43,2.38,2.43,2.36,33426,7969043.0,2.92,-0.83,-0.02,1.3
2006-09-01,000420,2.38,2.3,2.38,2.28,28317,6552487.0,4.2,-3.36,-0.08,1.1
2006-09-04,000420,2.29,2.33,2.35,2.28,15641,3627427.25,3.04,1.3,0.03,0.61
2006-09-05,000420,2.3,2.31,2.36,2.3,12650,2941551.5,2.58,-0.86,-0.02,0.49
2006-09-06,000420,2.3,2.35,2.35,2.3,15539,3622934.25,2.16,1.73,0.04,0.61
2006-09-07,000420,2.34,2.3,2.35,2.29,11816,2728239.0,2.55,-2.13,-0.05,0.46
2006-09-08,000420,2.3,2.31,2.31,2.28,8814,2026308.0,1.3,0.43,0.01,0.34
2006-09-11,000420,2.29,2.29,2.32,2.26,12620,2880334.5,2.6,-0.87,-0.02,0.49
2006-09-12,000420,2.28,2.32,2.33,2.28,13219,3054993.25,2.18,1.31,0.03,0.52
2006-09-13,000420,2.32,2.31,2.38,2.29,26641,6234129.5,3.88,-0.43,-0.01,1.04
2006-09-14,000420,2.32,2.35,2.36,2.31,20385,4770226.0,2.16,1.73,0.04,0.8
2006-09-15,000420,2.36,2.36,2.37,2.32,24015,5661147.5,2.13,0.43,0.01,0.94
2006-09-18,000420,2.38,2.42,2.45,2.37,47433,11406573.0,3.39,2.54,0.06,1.85
2006-09-19,000420,2.43,2.38,2.43,2.38,27332,6571093.5,2.07,-1.65,-0.04,1.07
2006-09-20,000420,2.38,2.38,2.4,2.35,18003,4271288.5,2.1,0.0,0.0,0.7
2006-09-21,000420,2.39,2.37,2.4,2.36,13823,3282152.25,1.68,-0.42,-0.01,0.54
2006-09-22,000420,2.38,2.31,2.38,2.31,17593,4112886.5,2.95,-2.53,-0.06,0.69
2006-09-25,000420,2.3,2.31,2.34,2.29,8459,1960924.12,2.16,0.0,0.0,0.33
2006-09-26,000420,2.31,2.3,2.33,2.28,13023,2992480.75,2.16,-0.43,-0.01,0.51
2006-09-27,000420,2.3,2.34,2.34,2.3,13032,3033880.75,1.74,1.74,0.04,0.51
2006-09-28,000420,2.34,2.34,2.36,2.32,13449,3155516.75,1.71,0.0,0.0,0.52
2006-09-29,000420,2.36,2.57,2.57,2.35,157211,39360864.0,9.4,9.83,0.23,6.13
2006-10-09,000420,2.72,2.83,2.83,2.69,186228,52382644.0,5.45,10.12,0.26,7.26
2006-10-10,000420,2.91,2.75,2.95,2.71,307804,86782832.0,8.48,-2.83,-0.08,12.01
2006-10-11,000420,2.71,2.85,2.95,2.62,200918,55822344.0,12.0,3.64,0.1,7.84
2006-10-12,000420,2.8,2.66,2.83,2.65,106540,29140720.0,6.32,-6.67,-0.19,4.16
2006-10-13,000420,2.66,2.67,2.75,2.65,51315,13819535.0,3.76,0.38,0.01,2.0
2006-10-16,000420,2.68,2.71,2.74,2.63,54004,14604899.0,4.12,1.5,0.04,2.11
2006-10-17,000420,2.69,2.65,2.71,2.62,54354,14405186.0,3.32,-2.21,-0.06,2.12
