报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2008年报,2009-02-27,2009-03-21,,不分配不转增,,,--,股东大会预案,--,--
2009中报,2009-08-18,,,不分配不转增,,,--,董事会预案,--,--
2009年报,2010-03-18,2010-04-17,2010-05-05,10派0.1元(含税),2010-05-10,2010-05-11,291.03万,实施方案,16.67%,0.11%
2010中报,2010-08-17,,,不分配不转增,,,--,董事会预案,--,--
2010年报,2011-03-22,2011-04-13,2011-05-24,10派0.11元(含税),2011-05-27,2011-05-30,320.13万,实施方案,27.5%,0.11%
2011中报,2011-07-28,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-21,2012-04-17,,不分配不转增,,,--,股东大会预案,--,--
2012中报,2012-07-24,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-03-26,2013-04-17,,不分配不转增,,,--,股东大会预案,--,--
2013中报,2013-07-30,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-03-25,2014-04-19,,不分配不转增,,,--,股东大会预案,--,--
2014中报,2014-08-12,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-03-25,2015-04-17,2015-05-15,10派0.1元(含税),2015-05-21,2015-05-22,291.03万,实施方案,33.33%,0.06%
2015中报,2015-08-25,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-03-29,2016-04-20,,不分配不转增,,,--,股东大会预案,--,--
2016中报,2016-08-23,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-03-28,2017-04-20,,不分配不转增,,,--,股东大会预案,--,--
2017中报,2017-08-22,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-27,2018-04-18,,不分配不转增,,,--,股东大会预案,--,--
2018中报,2018-08-23,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-03-29,2019-04-20,,不分配不转增,,,--,股东大会预案,--,--
2019中报,2019-08-24,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-04-30,2020-05-23,,不分配不转增,,,--,股东大会预案,--,--
2020中报,2020-08-27,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-31,2021-04-23,,不分配不转增,,,--,股东大会预案,--,--
2021中报,2021-08-28,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-31,2022-04-23,,不分配不转增,,,--,股东大会预案,--,--
2022中报,2022-08-31,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-04-25,2023-05-31,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-24,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-04-18,2024-05-18,,不分配不转增,,,--,股东大会预案,--,--
