报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,A股股权登记日,A股除权除息日,AH分红总额,方案进度,股利支付率,税前分红率
2007中报,2007-08-17,2007-08-29,,不分配不转增,,,--,股东大会预案,--,--
2007年报,2008-03-20,2008-06-07,2008-06-16,10派1.5元(含税),2008-06-19,2008-06-20,73.49亿,实施方案,34.88%,1.97%
2008中报,2008-08-27,,2008-09-19,10派1元(含税),2008-09-24,2008-09-25,48.99亿,实施方案,31.25%,1.71%
2008年报,2009-03-19,2009-05-09,2009-05-20,10派1元(含税),2009-05-26,2009-05-27,48.99亿,实施方案,17.24%,1.47%
2009中报,2009-08-20,,2009-09-15,10派1元(含税),2009-09-18,2009-09-21,48.99亿,实施方案,31.25%,1.14%
2009年报,2010-03-31,2010-04-21,2010-04-29,10派1元(含税),2010-05-05,2010-05-06,48.99亿,实施方案,16.39%,1.42%
2010中报,2010-08-19,,2010-09-07,10派1元(含税),2010-09-10,2010-09-13,56.26亿,实施方案,25%,1.69%
2010年报,2011-03-31,2011-06-29,2011-07-12,10送1股派0.2元(含税),2011-07-18,2011-07-19,11.25亿,实施方案,2.74%,0.36%
2011中报,2011-08-19,,,不分配不转增,,,--,董事会预案,--,--
2011年报,2012-03-29,2012-05-10,2012-05-24,10派1元(含税),2012-05-30,2012-05-31,61.89亿,实施方案,12.2%,2.1%
2012中报,2012-08-31,,,不分配不转增,,,--,董事会预案,--,--
2012年报,2013-03-28,2013-06-26,2013-07-04,10派2.4元(含税),2013-07-10,2013-07-11,178.23亿,实施方案,27.27%,5.87%
2013中报,2013-08-22,,,不分配不转增,,,--,董事会预案,--,--
2013年报,2014-03-31,2014-06-26,2014-07-04,10派2.6元(含税),2014-07-10,2014-07-11,193.08亿,实施方案,30.95%,6.67%
2014中报,2014-08-22,,,不分配不转增,,,--,董事会预案,--,--
2014年报,2015-03-27,2015-05-19,2015-05-27,10派2.7元(含税),2015-06-02,2015-06-03,200.51亿,实施方案,30.34%,3.62%
2015中报,2015-08-28,,,不分配不转增,,,--,董事会预案,--,--
2015年报,2016-03-30,2016-06-28,2016-07-06,10派2.7元(含税),2016-07-12,2016-07-13,200.51亿,实施方案,30%,4.59%
2016中报,2016-08-26,,,不分配不转增,,,--,董事会预案,--,--
2016年报,2017-03-29,2017-06-23,2017-06-30,10派2.715元(含税),2017-07-06,2017-07-07,201.62亿,实施方案,30.51%,4.39%
2017中报,2017-08-25,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-03-30,2018-06-30,2018-07-10,10派2.856元(含税),2018-07-13,2018-07-16,212.09亿,实施方案,31.38%,4.75%
2018中报,2018-08-24,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-30,2019-06-22,2019-07-02,10派3元(含税),2019-07-08,2019-07-09,222.79亿,实施方案,31.25%,4.9%
2019中报,2019-08-28,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-03-28,2020-07-01,2020-07-08,10派3.15元(含税),2020-07-13,2020-07-14,233.93亿,实施方案,31.5%,5.79%
2020中报,2020-08-29,,,不分配不转增,,,--,董事会预案,--,--
2020年报,2021-03-27,2021-06-30,2021-07-07,10派3.17元(含税),2021-07-12,2021-07-13,235.41亿,实施方案,32.02%,6.58%
2021中报,2021-08-28,,,不分配不转增,,,--,董事会预案,--,--
2021年报,2022-03-26,2022-06-29,2022-07-06,10派3.55元(含税),2022-07-11,2022-07-12,263.63亿,实施方案,32.27%,7.11%
2022中报,2022-08-27,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-31,2023-06-28,2023-07-06,10派3.73元(含税),2023-07-11,2023-07-12,277.00亿,实施方案,32.72%,6.43%
2023中报,2023-08-26,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-28,2024-06-27,2024-07-04,10派3.75元(含税),2024-07-09,2024-07-10,278.49亿,实施方案,32.61%,--
