报告期,董事会日期,股东大会预案公告日期,实施公告日,分红方案说明,B股股权登记日,B股除权除息日,分红总额,方案进度,股利支付率,税前分红率
2016年报,2017-04-24,2017-05-26,,不分配不转增,,,--,股东大会预案,--,--
2017中报,2017-08-21,,,不分配不转增,,,--,董事会预案,--,--
2017年报,2018-04-19,2018-05-09,,不分配不转增,,,--,股东大会预案,--,--
2018中报,2018-08-21,,,不分配不转增,,,--,董事会预案,--,--
2018年报,2019-04-19,2019-05-09,,不分配不转增,,,--,股东大会预案,--,--
2019中报,2019-08-14,,,不分配不转增,,,--,董事会预案,--,--
2019年报,2020-06-05,2020-06-22,2020-06-23,10派0.749元(含税),,,199.98万,实施方案,124.83%,--
2020中报,2020-09-21,2020-10-09,2020-10-13,10派3.4元(含税),,,907.80万,实施方案,196.99%,--
2020年报,2021-01-29,2021-02-26,,不分配不转增,,,--,股东大会预案,--,--
2021中报,2021-12-14,2021-12-30,2022-01-28,10派3.30元(含税),,,1209.45万,实施方案,149.73%,--
2021年报,2022-03-07,2022-03-30,2022-04-07,10转3.3股派3.3元(含税),,,1209.45万,实施方案,64.71%,--
2022中报,2022-08-24,,,不分配不转增,,,--,董事会预案,--,--
2022年报,2023-03-10,2023-03-31,,不分配不转增,,,--,股东大会预案,--,--
2023中报,2023-08-28,,,不分配不转增,,,--,董事会预案,--,--
2023年报,2024-03-15,2024-04-08,,不分配不转增,,,--,股东大会预案,--,--
2024中报,2024-08-07,,,不分配不转增,,,--,董事会预案,--,--
2024三季报,2024-10-30,2024-11-18,2024-11-19,10派1.3元(含税),,,1000.77万,实施方案,23.64%,--
2024年报,2025-04-18,2025-05-12,2025-05-13,10派0.7元(含税),,,538.87万,实施方案,12.28%,--
