symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime
sh600028,中国石化,5.690,-0.090,-1.557,5.690,5.700,5.780,5.770,5.800,5.690,112996974,648065331,600028,15:00:01
sh600030,中信证券,25.670,-0.320,-1.231,25.670,25.680,25.990,25.930,26.150,25.660,66448183,1720713753,600030,15:00:01
sh600031,三一重工,18.910,-0.160,-0.839,18.900,18.910,19.070,19.130,19.300,18.860,45361850,863572501,600031,15:00:03
sh600036,招商银行,44.050,-0.460,-1.033,44.040,44.050,44.510,44.510,44.680,43.900,54146009,2395482582,600036,15:00:01
sh600048,保利发展,8.090,-0.080,-0.979,8.090,8.100,8.170,8.160,8.220,8.090,63255116,515798810,600048,15:00:01
sh600050,中国联通,5.380,-0.050,-0.921,5.370,5.380,5.430,5.420,5.470,5.370,211470282,1147375782,600050,15:00:01
sh600150,中国船舶,31.060,-0.220,-0.703,31.050,31.060,31.280,31.220,31.460,31.020,24888615,777513720,600150,15:00:03
sh600276,XD恒瑞医,54.500,-0.900,-1.625,54.490,54.500,55.400,55.900,56.000,54.300,54184027,2981192924,600276,15:00:01
sh600309,万华化学,56.080,-0.080,-0.142,56.070,56.080,56.160,56.220,57.050,56.060,21523374,1216852905,600309,15:00:01
sh600406,国电南瑞,22.450,-0.630,-2.730,22.450,22.460,23.080,23.000,23.150,22.450,26972000,613376376,600406,15:00:01
sh600438,通威股份,16.840,-0.150,-0.883,16.830,16.840,16.990,16.900,17.220,16.840,25376013,432347172,600438,15:00:03
sh600519,贵州茅台,1572.600,-7.400,-0.468,1572.600,1572.640,1580.000,1575.200,1587.900,1571.660,2153700,3399424961,600519,15:00:00
sh600690,海尔智家,25.760,-0.430,-1.642,25.760,25.770,26.190,26.130,26.310,25.760,31892012,830256264,600690,15:00:03
sh600809,山西汾酒,192.000,-1.010,-0.523,191.990,192.000,193.010,192.940,195.500,191.370,5273706,1017829679,600809,15:00:01
sh600887,伊利股份,30.600,0.040,0.131,30.600,30.610,30.560,30.560,31.090,30.560,38719633,1194521713,600887,15:00:03
sh600900,长江电力,30.490,-0.540,-1.740,30.490,30.500,31.030,30.990,31.060,30.390,85424773,2613433482,600900,15:00:00
sh600941,中国移动,114.200,-0.630,-0.549,114.200,114.220,114.830,114.700,115.500,114.200,5946663,682755022,600941,15:00:01
sh601012,隆基绿能,14.920,-0.090,-0.600,14.920,14.930,15.010,15.000,15.220,14.920,45995597,692593713,601012,15:00:01
sh601088,中国神华,39.700,-0.700,-1.733,39.700,39.710,40.400,40.280,40.530,39.530,22959490,916144206,601088,15:00:01
sh601127,赛力斯,145.870,13.260,9.999,145.870,0.000,132.610,132.880,145.870,132.880,75063516,10675789482,601127,15:00:01
sh601166,兴业银行,22.810,-0.090,-0.393,22.810,22.820,22.900,22.880,22.980,22.730,40925201,935467315,601166,15:00:03
sh601225,陕西煤业,20.820,0.010,0.048,20.810,20.820,20.810,20.770,21.250,20.710,31296361,656345969,601225,15:00:01
sh601288,农业银行,5.540,-0.070,-1.248,5.540,5.550,5.610,5.610,5.650,5.540,408539815,2279497273,601288,15:00:01
sh601318,中国平安,53.230,-0.610,-1.133,53.230,53.240,53.840,53.810,54.460,53.170,43049136,2314052457,601318,15:00:03
sh601328,交通银行,7.670,-0.100,-1.287,7.670,7.680,7.770,7.770,7.820,7.660,96519407,745524492,601328,15:00:03
sh601390,中国中铁,5.580,-0.060,-1.064,5.570,5.580,5.640,5.640,5.650,5.580,42733286,239963236,601390,15:00:00
sh601398,工商银行,7.080,-0.040,-0.562,7.070,7.080,7.120,7.120,7.150,7.070,316918822,2250187441,601398,15:00:03
sh601601,中国太保,33.510,-0.850,-2.474,33.510,33.520,34.360,34.310,34.500,33.470,24100975,817531120,601601,15:00:03
sh601628,中国人寿,38.010,-0.530,-1.375,38.000,38.010,38.540,38.470,38.760,37.860,9003151,344747453,601628,15:00:03
sh601633,长城汽车,23.420,0.070,0.300,23.410,23.420,23.350,23.300,23.870,23.260,24934975,589229756,601633,15:00:03
sh601658,邮储银行,5.360,-0.030,-0.557,5.350,5.360,5.390,5.390,5.430,5.340,144596849,779434282,601658,15:00:01
sh601668,中国建筑,5.710,-0.080,-1.382,5.710,5.720,5.790,5.790,5.820,5.710,128690541,741585208,601668,15:00:01
sh601728,中国电信,7.920,0.020,0.253,7.910,7.920,7.900,7.900,7.980,7.860,84390100,670348223,601728,15:00:01
sh601766,中国中车,7.280,-0.110,-1.488,7.280,7.290,7.390,7.370,7.440,7.280,52273190,384452865,601766,15:00:01
sh601816,京沪高铁,5.870,-0.140,-2.329,5.870,5.880,6.010,5.990,6.000,5.870,77872567,461484534,601816,15:00:01
sh601857,中国石油,8.180,-0.120,-1.446,8.180,8.190,8.300,8.300,8.320,8.180,83692974,689422365,601857,15:00:01
sh601888,中国中免,60.880,-0.360,-0.588,60.870,60.880,61.240,61.240,61.630,60.810,8985011,549770980,601888,15:00:03
sh601899,紫金矿业,18.590,0.010,0.054,18.590,18.600,18.580,18.540,18.700,18.440,120687210,2242456153,601899,15:00:01
sh601919,中远海控,16.560,-0.150,-0.898,16.560,16.570,16.710,16.730,16.890,16.520,103302412,1724978517,601919,15:00:01
sh601985,中国核电,9.550,-0.020,-0.209,9.540,9.550,9.570,9.550,9.660,9.540,75401906,724773216,601985,15:00:03
sh601988,中国银行,5.570,-0.060,-1.066,5.570,5.580,5.630,5.630,5.650,5.570,184644033,1034401402,601988,15:00:01
sh603259,药明康德,62.050,-0.740,-1.179,62.050,62.060,62.790,62.770,64.210,61.970,45797261,2888668363,603259,15:00:01
