symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime
sh600000,浦发银行,12.230,-0.200,-1.609,12.230,12.240,12.430,12.390,12.480,12.220,57961597,712934903,600000,15:00:01
sh600004,白云机场,9.280,-0.070,-0.749,9.280,9.290,9.350,9.350,9.420,9.280,12594114,117679063,600004,15:00:03
sh600006,东风股份,7.730,-0.090,-1.151,7.720,7.730,7.820,7.810,8.100,7.680,136680049,1079716353,600006,15:00:01
sh600007,中国国贸,21.620,-0.050,-0.231,21.620,21.630,21.670,21.700,21.780,21.610,1739082,37737961,600007,15:00:01
sh600008,首创环保,3.130,-0.030,-0.949,3.130,3.140,3.160,3.160,3.180,3.130,66001230,208246225,600008,15:00:03
sh600009,上海机场,32.390,-0.400,-1.220,32.380,32.390,32.790,32.780,32.880,32.390,6807669,222176878,600009,15:00:03
sh600010,包钢股份,1.750,-0.010,-0.568,1.750,1.760,1.760,1.760,1.770,1.740,178634809,313840239,600010,15:00:03
sh600011,华能国际,7.390,-0.010,-0.135,7.380,7.390,7.400,7.390,7.480,7.360,42716492,316841058,600011,15:00:01
sh600012,皖通高速,17.730,-0.350,-1.936,17.730,17.740,18.080,18.190,18.200,17.720,2554454,45707180,600012,15:00:03
sh600015,华夏银行,7.490,-0.110,-1.447,7.490,7.500,7.600,7.600,7.670,7.490,61173579,462973125,600015,15:00:01
sh600016,民生银行,4.160,-0.040,-0.952,4.160,4.170,4.200,4.190,4.220,4.160,182663416,764805016,600016,15:00:01
sh600017,日照港,3.120,-0.090,-2.804,3.120,3.130,3.210,3.190,3.200,3.120,54528509,172222401,600017,15:00:03
sh600018,上港集团,5.750,-0.080,-1.372,5.750,5.760,5.830,5.820,5.860,5.740,22294436,129264610,600018,15:00:01
sh600019,宝钢股份,6.860,0.000,0.000,6.860,6.870,6.860,6.870,7.000,6.860,59615426,412643543,600019,15:00:01
sh600020,中原高速,4.810,-0.090,-1.837,4.810,4.820,4.900,4.930,4.930,4.810,12576239,61152490,600020,15:00:03
sh600021,上海电力,9.040,-0.090,-0.986,9.030,9.040,9.130,9.130,9.200,9.040,31577500,287921373,600021,15:00:03
sh600022,山东钢铁,1.320,-0.020,-1.493,1.320,1.330,1.340,1.340,1.350,1.320,36248610,48328263,600022,15:00:01
sh600023,浙能电力,5.340,-0.070,-1.294,5.330,5.340,5.410,5.400,5.420,5.330,40706763,218889433,600023,15:00:01
sh600025,华能水电,9.990,-0.120,-1.187,9.980,9.990,10.110,10.100,10.150,9.980,31675068,318175479,600025,15:00:01
sh600026,中远海能,10.100,-0.120,-1.174,10.100,10.110,10.220,10.190,10.260,10.100,18264246,186025061,600026,15:00:01
sh600027,华电国际,5.890,-0.050,-0.842,5.880,5.890,5.940,5.940,5.990,5.890,61945582,367422382,600027,15:00:01
sh600028,中国石化,5.690,-0.090,-1.557,5.690,5.700,5.780,5.770,5.800,5.690,112996974,648065331,600028,15:00:01
sh600029,南方航空,6.010,-0.100,-1.637,6.000,6.010,6.110,6.110,6.170,5.990,44233395,269000987,600029,15:00:01
sh600030,中信证券,25.670,-0.320,-1.231,25.670,25.680,25.990,25.930,26.150,25.660,66448183,1720713753,600030,15:00:01
sh600031,三一重工,18.910,-0.160,-0.839,18.900,18.910,19.070,19.130,19.300,18.860,45361850,863572501,600031,15:00:03
sh600032,浙江新能,7.400,-0.220,-2.887,7.400,7.410,7.620,7.620,7.640,7.390,15055669,112731477,600032,15:00:01
sh600033,福建高速,3.560,-0.090,-2.466,3.560,3.570,3.650,3.650,3.660,3.560,42702700,154318729,600033,15:00:01
sh600035,楚天高速,4.480,-0.070,-1.538,4.480,4.490,4.550,4.530,4.570,4.470,14533529,65653626,600035,15:00:03
sh600036,招商银行,44.050,-0.460,-1.033,44.040,44.050,44.510,44.510,44.680,43.900,54146009,2395482582,600036,15:00:01
sh600037,歌华有线,6.980,-0.110,-1.551,6.980,6.990,7.090,7.110,7.110,6.980,10145511,71382578,600037,15:00:01
sh600038,中直股份,36.700,-0.180,-0.488,36.690,36.700,36.880,36.850,37.040,36.690,5873399,216462890,600038,15:00:03
sh600039,四川路桥,9.240,-0.060,-0.645,9.240,9.250,9.300,9.330,9.350,9.230,13661420,126741180,600039,15:00:01
sh600048,保利发展,8.090,-0.080,-0.979,8.090,8.100,8.170,8.160,8.220,8.090,63255116,515798810,600048,15:00:01
sh600050,中国联通,5.380,-0.050,-0.921,5.370,5.380,5.430,5.420,5.470,5.370,211470282,1147375782,600050,15:00:01
sh600051,宁波联合,7.050,-0.240,-3.292,7.050,7.060,7.290,7.280,7.280,7.040,14775600,105593695,600051,15:00:03
sh600052,东望时代,4.160,-0.120,-2.804,4.160,4.170,4.280,4.290,4.290,4.150,8306400,35025889,600052,15:00:03
sh600053,九鼎投资,14.540,-0.540,-3.581,14.540,14.550,15.080,15.140,15.260,14.500,19411060,286882540,600053,15:00:03
sh600054,黄山旅游,11.300,-0.070,-0.616,11.290,11.300,11.370,11.350,11.410,11.290,4738100,53793046,600054,15:00:01
sh600055,万东医疗,18.410,0.010,0.054,18.410,18.420,18.400,18.430,18.710,18.260,7747292,143346887,600055,15:00:03
sh600056,中国医药,10.370,-0.020,-0.192,10.360,10.370,10.390,10.380,10.490,10.350,12490140,130519097,600056,15:00:01
sh600057,厦门象屿,6.840,-0.100,-1.441,6.840,6.850,6.940,6.930,6.950,6.820,13761842,94677548,600057,15:00:03
sh600058,五矿发展,7.250,-0.080,-1.091,7.250,7.260,7.330,7.340,7.380,7.250,5096845,37288416,600058,15:00:03
sh600059,古越龙山,10.270,0.520,5.333,10.270,10.280,9.750,9.790,10.650,9.750,71741116,742477617,600059,15:00:00
sh600060,海信视像,23.890,-0.070,-0.292,23.890,23.900,23.960,23.930,24.240,23.820,7163690,172412199,600060,15:00:03
sh600061,国投资本,6.880,-0.100,-1.433,6.880,6.890,6.980,6.970,7.010,6.880,17013576,118245281,600061,15:00:03
sh600062,华润双鹤,19.330,0.150,0.782,19.320,19.330,19.180,19.220,19.540,19.220,12165400,236349333,600062,15:00:01
sh600063,皖维高新,4.290,0.030,0.704,4.290,4.300,4.260,4.270,4.350,4.260,21062051,91033540,600063,15:00:03
sh600064,南京高科,7.500,0.000,0.000,7.500,7.510,7.500,7.490,7.610,7.490,16530445,124890445,600064,15:00:01
sh600066,宇通客车,25.100,-0.110,-0.436,25.100,25.110,25.210,25.010,25.720,25.010,19410640,493550141,600066,15:00:01
sh600067,冠城新材,2.790,-0.070,-2.448,2.780,2.790,2.860,2.840,2.870,2.780,22793532,64195897,600067,15:00:01
sh600072,中船科技,11.960,-0.110,-0.911,11.960,11.970,12.070,12.090,12.210,11.960,9580213,115805984,600072,15:00:01
sh600073,光明肉业,7.870,-0.200,-2.478,7.860,7.870,8.070,8.070,8.080,7.850,11212414,89260480,600073,15:00:03
sh600075,新疆天业,4.190,-0.050,-1.179,4.190,4.200,4.240,4.220,4.260,4.180,8315540,35112813,600075,15:00:03
sh600076,康欣新材,2.250,-0.040,-1.747,2.240,2.250,2.290,2.280,2.310,2.230,18266800,41438542,600076,15:00:01
sh600078,澄星股份,5.490,-0.030,-0.543,5.490,5.510,5.520,5.520,5.650,5.480,10449401,58106806,600078,15:00:03
sh600079,人福医药,20.880,0.620,3.060,20.870,20.880,20.260,20.280,21.130,20.280,39102179,816202861,600079,15:00:00
sh600080,金花股份,7.500,0.050,0.671,7.490,7.500,7.450,7.440,7.640,7.440,5545801,41839823,600080,15:00:03
sh600081,东风科技,15.390,0.050,0.326,15.380,15.390,15.340,15.300,16.380,15.180,50409034,786536448,600081,15:00:01
sh600082,海泰发展,3.620,0.030,0.836,3.610,3.620,3.590,3.590,3.740,3.450,29762200,106844080,600082,15:00:01
sh600084,中信尼雅,5.400,-0.020,-0.369,5.400,5.410,5.420,5.390,5.490,5.370,3679200,19943479,600084,15:00:03
sh600085,同仁堂,37.590,0.120,0.320,37.580,37.590,37.470,37.500,38.100,37.470,8812432,333648811,600085,15:00:03
sh600088,中视传媒,16.060,-0.270,-1.653,16.060,16.070,16.330,16.330,16.430,16.020,2650241,43009973,600088,15:00:00
sh600089,特变电工,11.710,-0.120,-1.014,11.710,11.720,11.830,11.840,11.880,11.710,17362741,204881549,600089,15:00:00
sh600094,大名城,3.070,-0.040,-1.286,3.070,3.080,3.110,3.100,3.120,3.060,13269800,41002670,600094,15:00:03
sh600095,湘财股份,8.190,-0.190,-2.267,8.180,8.190,8.380,8.350,8.400,8.160,66497222,550222056,600095,15:00:00
sh600096,云天化,22.230,-0.150,-0.670,22.230,22.240,22.380,22.390,22.640,22.210,24372752,545376068,600096,15:00:01
sh600097,开创国际,9.860,-0.170,-1.695,9.860,9.870,10.030,9.990,10.060,9.830,4868000,48515156,600097,15:00:03
sh600098,广州发展,6.470,-0.050,-0.767,6.470,6.480,6.520,6.540,6.570,6.460,12749694,83114526,600098,15:00:01
sh600099,林海股份,10.590,-0.300,-2.755,10.590,10.600,10.890,10.670,10.860,10.570,5370182,57508034,600099,15:00:03
sh600100,同方股份,6.900,-0.110,-1.569,6.900,6.910,7.010,7.040,7.060,6.900,30407179,212255872,600100,15:00:03
sh600101,明星电力,10.700,-0.620,-5.477,10.690,10.700,11.320,11.210,11.300,10.690,68069104,740670842,600101,15:00:01
sh600103,青山纸业,2.170,-0.010,-0.459,2.170,2.180,2.180,2.180,2.210,2.170,29494430,64641692,600103,15:00:01
sh600104,上汽集团,16.870,-0.270,-1.575,16.870,16.880,17.140,17.100,17.320,16.870,52504213,898340825,600104,15:00:03
sh600105,永鼎股份,7.600,0.220,2.981,7.590,7.600,7.380,7.380,7.830,7.330,237294042,1821227607,600105,15:00:03
sh600106,重庆路桥,5.500,-0.140,-2.482,5.490,5.500,5.640,5.630,5.640,5.490,17844600,99393661,600106,15:00:03
sh600108,亚盛集团,2.870,-0.030,-1.034,2.870,2.880,2.900,2.900,2.920,2.870,25757600,74576702,600108,15:00:03
sh600109,国金证券,8.230,-0.080,-0.963,8.230,8.240,8.310,8.290,8.360,8.230,18693900,155048900,600109,15:00:03
sh600110,诺德股份,3.390,-0.030,-0.877,3.380,3.390,3.420,3.420,3.460,3.380,15934382,54589543,600110,15:00:03
sh600111,北方稀土,23.210,-0.140,-0.600,23.200,23.210,23.350,23.400,23.580,23.180,33198596,776459692,600111,15:00:01
