symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime
sh600004,白云机场,9.280,-0.070,-0.749,9.280,9.290,9.350,9.350,9.420,9.280,12594114,117679063,600004,15:00:03
sh600007,中国国贸,21.620,-0.050,-0.231,21.620,21.630,21.670,21.700,21.780,21.610,1739082,37737961,600007,15:00:01
sh600008,首创环保,3.130,-0.030,-0.949,3.130,3.140,3.160,3.160,3.180,3.130,66001230,208246225,600008,15:00:03
sh600021,上海电力,9.040,-0.090,-0.986,9.030,9.040,9.130,9.130,9.200,9.040,31577500,287921373,600021,15:00:03
sh600032,浙江新能,7.400,-0.220,-2.887,7.400,7.410,7.620,7.620,7.640,7.390,15055669,112731477,600032,15:00:01
sh600038,中直股份,36.700,-0.180,-0.488,36.690,36.700,36.880,36.850,37.040,36.690,5873399,216462890,600038,15:00:03
sh600056,中国医药,10.370,-0.020,-0.192,10.360,10.370,10.390,10.380,10.490,10.350,12490140,130519097,600056,15:00:01
sh600060,海信视像,23.890,-0.070,-0.292,23.890,23.900,23.960,23.930,24.240,23.820,7163690,172412199,600060,15:00:03
sh600062,华润双鹤,19.330,0.150,0.782,19.320,19.330,19.180,19.220,19.540,19.220,12165400,236349333,600062,15:00:01
sh600079,人福医药,20.880,0.620,3.060,20.870,20.880,20.260,20.280,21.130,20.280,39102179,816202861,600079,15:00:00
sh600095,湘财股份,8.190,-0.190,-2.267,8.180,8.190,8.380,8.350,8.400,8.160,66497222,550222056,600095,15:00:00
sh600096,云天化,22.230,-0.150,-0.670,22.230,22.240,22.380,22.390,22.640,22.210,24372752,545376068,600096,15:00:01
sh600098,广州发展,6.470,-0.050,-0.767,6.470,6.480,6.520,6.540,6.570,6.460,12749694,83114526,600098,15:00:01
sh600109,国金证券,8.230,-0.080,-0.963,8.230,8.240,8.310,8.290,8.360,8.230,18693900,155048900,600109,15:00:03
sh600118,中国卫星,26.220,-0.560,-2.091,26.220,26.230,26.780,26.620,26.770,26.200,8539461,226242221,600118,15:00:01
sh600126,杭钢股份,9.400,-0.420,-4.277,9.400,9.410,9.820,9.820,9.850,9.380,138699722,1325205556,600126,15:00:00
sh600129,太极集团,21.410,-0.340,-1.563,21.400,21.410,21.750,22.030,22.220,21.380,14848400,324538606,600129,15:00:01
sh600131,国网信通,17.900,-0.300,-1.648,17.900,17.930,18.200,18.200,18.200,17.840,10109849,181319353,600131,15:00:03
sh600132,重庆啤酒,56.700,-0.660,-1.151,56.700,56.710,57.360,57.180,57.780,56.700,3088000,176391902,600132,15:00:03
sh600141,兴发集团,20.650,-0.020,-0.097,20.640,20.650,20.670,20.750,20.970,20.600,9015973,187546627,600141,15:00:03
sh600143,金发科技,10.470,-0.040,-0.381,10.470,10.480,10.510,10.500,10.730,10.460,26804731,283695051,600143,15:00:03
sh600153,建发股份,9.880,0.000,0.000,9.880,9.890,9.880,9.900,10.010,9.860,17472317,173791916,600153,15:00:03
sh600155,华创云信,6.480,-0.110,-1.669,6.470,6.480,6.590,6.600,6.620,6.470,17904927,117218296,600155,15:00:01
sh600157,永泰能源,1.350,-0.010,-0.735,1.350,1.360,1.360,1.360,1.370,1.350,266840576,362190707,600157,15:00:01
sh600166,福田汽车,2.680,-0.020,-0.741,2.670,2.680,2.700,2.700,2.730,2.670,109297800,294878864,600166,15:00:03
sh600170,上海建工,2.360,-0.020,-0.840,2.360,2.370,2.380,2.380,2.390,2.360,69419536,164843550,600170,15:00:03
sh600177,雅戈尔,7.430,-0.070,-0.933,7.430,7.440,7.500,7.500,7.530,7.430,17983016,134692626,600177,15:00:03
sh600208,衢州发展,2.580,0.010,0.389,2.570,2.580,2.570,2.570,2.600,2.560,43621800,112721747,600208,15:00:01
sh600258,首旅酒店,14.650,-0.470,-3.108,14.640,14.650,15.120,15.030,15.140,14.620,12430297,184443287,600258,15:00:03
sh600271,航天信息,8.410,-0.130,-1.522,8.400,8.410,8.540,8.540,8.570,8.400,10094993,85630950,600271,15:00:03
sh600282,南钢股份,4.290,-0.010,-0.233,4.290,4.300,4.300,4.310,4.360,4.290,24695887,106807731,600282,15:00:01
sh600295,鄂尔多斯,9.220,-0.020,-0.216,9.220,9.230,9.240,9.250,9.340,9.190,6278247,58184911,600295,15:00:01
sh600298,安琪酵母,36.370,-0.020,-0.055,36.370,36.380,36.390,36.500,36.930,36.320,3339846,122005807,600298,15:00:01
sh600299,安迪苏,9.710,0.000,0.000,9.710,9.720,9.710,9.740,9.840,9.680,5564501,54377984,600299,15:00:03
sh600312,平高电气,16.290,-0.020,-0.123,16.290,16.300,16.310,16.390,16.550,16.270,10830184,177968457,600312,15:00:00
sh600316,洪都航空,34.440,-0.560,-1.600,34.440,34.450,35.000,34.850,35.000,34.390,9235500,319967947,600316,15:00:00
sh600325,华发股份,5.000,-0.050,-0.990,5.000,5.010,5.050,5.040,5.070,5.000,16728700,84219338,600325,15:00:03
sh600329,达仁堂,32.460,0.640,2.011,32.460,32.470,31.820,31.870,33.040,31.870,9424200,306935921,600329,15:00:03
sh600339,中油工程,3.090,-0.020,-0.643,3.090,3.100,3.110,3.110,3.130,3.090,29503990,91811727,600339,15:00:01
sh600348,华阳股份,6.730,-0.030,-0.444,6.730,6.740,6.760,6.760,6.890,6.730,25888600,176115665,600348,15:00:00
sh600350,山东高速,11.070,-0.100,-0.895,11.060,11.070,11.170,11.160,11.240,11.040,7886295,87874662,600350,15:00:00
sh600352,浙江龙盛,9.920,-0.070,-0.701,9.920,9.930,9.990,9.990,10.080,9.920,11869752,118686764,600352,15:00:03
sh600361,创新新材,3.840,-0.020,-0.518,3.830,3.840,3.860,3.860,3.900,3.830,22664973,87610759,600361,15:00:03
sh600369,西南证券,4.130,-0.040,-0.959,4.120,4.130,4.170,4.160,4.200,4.120,25230400,104924141,600369,15:00:01
sh600373,中文传媒,10.420,-0.070,-0.667,10.420,10.430,10.490,10.500,10.560,10.420,5403926,56685093,600373,15:00:01
sh600378,昊华科技,24.380,-0.170,-0.692,24.380,24.390,24.550,24.550,24.640,24.310,3377347,82467152,600378,15:00:01
sh600380,健康元,10.890,0.090,0.833,10.890,10.900,10.800,10.900,11.080,10.880,21066451,230994744,600380,15:00:01
sh600390,五矿资本,5.280,-0.050,-0.938,5.280,5.290,5.330,5.330,5.360,5.270,29241127,155330797,600390,15:00:03
sh600392,盛和资源,11.730,0.000,0.000,11.730,11.740,11.730,11.730,11.990,11.700,47797982,566063248,600392,15:00:03
sh600398,海澜之家,7.610,-0.320,-4.035,7.610,7.620,7.930,7.930,7.960,7.600,41584404,321870497,600398,15:00:00
sh600416,湘电股份,10.600,0.140,1.338,10.600,10.610,10.460,10.460,10.820,10.420,17556129,186791290,600416,15:00:01
sh600418,江淮汽车,40.810,0.650,1.619,40.800,40.810,40.160,40.000,42.090,39.680,115481009,4749329387,600418,15:00:01
sh600435,北方导航,11.410,-0.180,-1.553,11.400,11.410,11.590,11.450,11.600,11.360,20325500,233018735,600435,15:00:01
sh600483,福能股份,9.550,-0.080,-0.831,9.550,9.560,9.630,9.640,9.670,9.550,10072218,96785174,600483,15:00:01
sh600486,扬农化工,51.660,-0.420,-0.806,51.660,51.700,52.080,51.930,52.580,51.550,2345732,121865353,600486,15:00:03
sh600487,亨通光电,14.880,-0.160,-1.064,14.880,14.890,15.040,15.040,15.160,14.840,29523134,442469075,600487,15:00:01
sh600497,驰宏锌锗,5.170,-0.030,-0.577,5.160,5.170,5.200,5.200,5.230,5.170,30149883,156810232,600497,15:00:01
sh600498,烽火通信,20.180,-0.420,-2.039,20.170,20.180,20.600,20.560,20.690,20.160,14262925,291094201,600498,15:00:00
sh600499,科达制造,10.120,0.060,0.596,10.120,10.130,10.060,10.050,10.220,10.000,12575700,127510229,600499,15:00:03
sh600500,中化国际,3.820,-0.040,-1.036,3.820,3.830,3.860,3.850,3.890,3.820,19721157,76062808,600500,15:00:03
sh600511,国药股份,30.700,0.200,0.656,30.700,30.710,30.500,30.490,30.980,30.460,4537541,139789350,600511,15:00:03
sh600516,方大炭素,4.610,-0.040,-0.860,4.610,4.620,4.650,4.650,4.680,4.610,12904459,59924440,600516,15:00:01
